StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,attention_check,participant_id,group,nationality,age,gender,year_of_study,w1,w2,w3,w4,w5,w6,w7,b1,b2,b3,b4,b5,d1,d2,d3,d4,open_response
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent to participate in this study?,Please select the number four (4) from the options below (1-5):,Participant ID,Which of the following best describes your student status?,What is your nationality?,What is your age?,What is your gender?,What year of study are you currently in?,In the past two weeks... I have been feeling optimistic about the future,In the past two weeks... I have been feeling useful,In the past two weeks... I have been feeling relaxed,In the past two weeks... I have been struggling to deal with problems,In the past two weeks... I have been thinking clearly,In the past two weeks... I have been feeling distant from other people,In the past two weeks... I have been able to make up my own mind about things,I feel like I belong at this university,I feel accepted by other students,I feel like part of the university community,I feel comfortable expressing my cultural identity here,I feel welcomed by staff and faculty,I have experienced unfair treatment because of my cultural background,I have felt excluded because of my cultural identity,Others have made negative assumptions about me based on my background,I have experienced comments or actions that felt discriminatory,Is there anything else you would like to share about your experience as a student?
2025-01-07 02:14:21,2025-01-07 02:21:32,IP Address,135.235.234.233,100,431,True,2025-01-07 02:21:40,R_18Y2bTu5X1YqWg2,anonymous,EN,I agree,4,P011,UK,Scotland,27,f,1,2,2,2,3,2,3,2,2,3,3,4,4,2,2,2,2,"My flat has a great vibe, but maintenance is slow."
2025-01-11 15:03:11,2025-01-11 15:05:47,IP Address,92.14.55.212,38,156,False,2025-01-11 15:05:49,R_nK7tQzYrWmBx9pL,anonymous,EN,I agree,4,P302,EU,France,25,Female,1,4,3,,,,,,,,,,,,,,,
2025-01-11 02:31:43,2025-01-11 02:40:20,IP Address,155.82.216.127,100,517,True,2025-01-11 02:40:28,R_rZRiRBaepZITGgr,anonymous,EN,I agree,4,P082,UK,England,21,Female,1,4,5,5,1,5,1,5,6,6,6,6,7,2,2,2,2,Social life is great—lots of events and friends to keep me grounded.
2025-01-13 16:09:35,2025-01-13 16:16:51,IP Address,160.48.43.33,100,436,True,2025-01-13 16:16:59,R_NpOSWe9DyF5QHXw,anonymous,EN,I agree,4,P143,EU,Italy,28,male,3,4,3,4,1,3,3,4,4,4,3,4,3,4,4,3,3,"Financial stress is manageable, but I sometimes worry about future costs."
2025-01-09 06:22:15,2025-01-09 06:27:48,IP Address,101.118.245.161,100,333,True,2025-01-09 06:27:51,R_JQUdLE4rXLvNMQS,anonymous,EN,I agree,4,P050,UK,England,24,m,1,2,5,4,2,3,1,4,5,5,6,6,6,2,2,2,2,I'd love more mental health resources on campus.
2025-01-15 23:29:25,2025-01-15 23:34:54,IP Address,213.90.208.182,100,329,True,2025-01-15 23:34:57,R_92EtEfonGa4miS4,anonymous,EN,I agree,2,P184,EU,France,27,female,1,3,2,4,3,3,3,3,5,4,5,5,4,3,2,2,3,
2025-01-09 10:21:40,2025-01-09 10:28:43,IP Address,103.247.168.47,100,423,True,2025-01-09 10:28:44,R_8G4ZpZDYUvh7i71,anonymous,EN,I agree,4,P052,UK,England,25,M,2,4,3,3,3,4,3,3,6,7,7,6,7,2,2,2,1,Not really
2025-01-11 21:15:26,2025-01-11 21:26:57,IP Address,90.238.62.56,100,691,True,2025-01-11 21:27:05,R_XqhPx8Y7XsrSvBp,anonymous,EN,I agree,4,P108,UK,England,24,female,2,4,4,4,2,4,1,3,6,6,6,6,6,2,2,3,2,
2025-01-12 04:40:20,2025-01-12 04:43:20,IP Address,182.148.186.73,100,180,True,2025-01-12 04:43:23,R_iupqoU7sSaOQdht,anonymous,EN,I agree,4,P114,UK,Wales,27,female,2,2,2,3,3,2,4,2,,6,4,5,5,0,2,1,1,Food costs are a struggle; campus cafes are pricey.
2025-01-06 10:33:19,2025-01-06 10:42:53,IP Address,88.64.225.87,100,574,True,2025-01-06 10:43:01,R_850kEnydx9qWCA7,anonymous,EN,I agree,4,P003,UK,Wales,26,f,2,3,3,3,2,4,2,3,5,4,4,5,5,2,2,1,2,No
