participant_id,student_group,student_group_code,nationality,nationality_code,age,gender,gender_code,year_of_study,wellbeing_mean,belonging_mean,discrimination_mean,open_response
P011,UK,1,Scotland,16,27,Female,1,1,2.2857142857142856,3.2,2.0,"My flat has a great vibe, but maintenance is slow."
P082,UK,1,England,3,21,Female,1,1,4.857142857142857,6.2,2.0,Social life is great—lots of events and friends to keep me grounded.
P143,EU,2,Italy,7,28,Male,2,3,3.7142857142857144,3.6,3.5,"Financial stress is manageable, but I sometimes worry about future costs."
P050,UK,1,England,3,24,Male,2,1,3.857142857142857,5.6,2.0,I'd love more mental health resources on campus.
P052,UK,1,England,3,25,Male,2,2,3.2857142857142856,6.6,1.75,Not really
P108,UK,1,England,3,24,Female,1,2,4.0,6.0,2.25,
P114,UK,1,Wales,20,27,Female,1,2,2.2857142857142856,5.0,1.3333333333333333,Food costs are a struggle; campus cafes are pricey.
P003,UK,1,Wales,20,26,Female,1,2,3.4285714285714284,4.6,1.75,No
P103,UK,1,England,3,26,Male,2,2,3.857142857142857,5.6,2.25,"My flat has a great vibe, but maintenance is slow."
P242,International,3,Kenya,8,23,Female,1,3,3.4285714285714284,5.6,1.5,"Made friends who've helped me adapt, but systemic bias remains."
P051,UK,1,England,3,26,Male,2,3,3.857142857142857,4.4,1.25,
P016,UK,1,Scotland,16,24,Female,1,3,3.857142857142857,5.4,2.0,I've made great friends through clubs and societies.
P033,UK,1,Scotland,16,28,Female,1,1,4.0,6.2,1.25,Social life is great—lots of events and friends to keep me grounded.
P153,EU,2,Netherlands,10,24,Male,2,2,2.4285714285714284,3.6,2.5,UK culture feels polite but distant—struggling to feel fully connected.
P008,UK,1,England,3,26,Female,1,3,4.428571428571429,5.8,2.25,
P125,UK,1,Scotland,16,21,Male,2,2,3.142857142857143,4.6,2.5,Nothing to add
P148,EU,2,Sweden,19,24,Male,2,2,3.142857142857143,5.6,2.75,"It's been challenging at times, but I'm proud of how much I've grown."
P037,UK,1,England,3,26,Female,1,1,2.5714285714285716,4.6,1.6666666666666667,Workshops on time management would be helpful.
P083,UK,1,England,3,21,Female,1,1,4.333333333333333,7.0,2.5,I feel supported by my peers and staff.
P243,International,3,China,2,24,Female,1,1,3.2857142857142856,3.4,3.75,I wish there were more culturally inclusive events on campus.
P299,International,3,Pakistan,13,26,Male,2,2,3.857142857142857,3.8,3.25,"Missing family dearly, especially holidays."
P135,EU,2,France,4,24,Male,2,1,2.5714285714285716,4.2,2.5,UK culture feels polite but distant—struggling to feel fully connected.
