participant_id,group,nationality,age,gender,year_of_study,w1,w2,w3,w4,w5,w6,w7,w4r,w6r,b1,b2,b3,b4,b5,d1,d2,d3,d4,wb_mean,bel_mean,dis_mean,open_response
P011,UK,Scotland,27,Female,1,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.2857142857142856,3.2,2.0,"My flat has a great vibe, but maintenance is slow."
P082,UK,England,21,Female,1,4.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,2.0,2.0,2.0,2.0,4.857142857142857,6.2,2.0,Social life is great—lots of events and friends to keep me grounded.
P143,EU,Italy,28,Male,3,4.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.7142857142857144,3.6,3.5,"Financial stress is manageable, but I sometimes worry about future costs."
P050,UK,England,24,Male,1,2.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,3.857142857142857,5.6,2.0,I'd love more mental health resources on campus.
P052,UK,England,25,Male,2,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0,6.0,7.0,2.0,2.0,2.0,1.0,3.2857142857142856,6.6,1.75,Not really
P108,UK,England,24,Female,2,4.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,3.0,2.0,4.0,6.0,2.25,
P114,UK,Wales,27,Female,2,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,,6.0,4.0,5.0,5.0,,2.0,1.0,1.0,2.2857142857142856,5.0,1.3333333333333333,Food costs are a struggle; campus cafes are pricey.
P003,UK,Wales,26,Female,2,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,1.0,2.0,3.4285714285714284,4.6,1.75,No
P103,UK,England,26,Male,2,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,6.0,7.0,6.0,4.0,5.0,3.0,2.0,2.0,2.0,3.857142857142857,5.6,2.25,"My flat has a great vibe, but maintenance is slow."
P242,International,Kenya,23,Female,3,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,5.0,1.0,2.0,2.0,1.0,3.4285714285714284,5.6,1.5,"Made friends who've helped me adapt, but systemic bias remains."
P051,UK,England,26,Male,3,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,3.857142857142857,4.4,1.25,
P016,UK,Scotland,24,Female,3,4.0,3.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,3.857142857142857,5.4,2.0,I've made great friends through clubs and societies.
P033,UK,Scotland,28,Female,1,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,7.0,6.0,6.0,6.0,6.0,1.0,2.0,1.0,1.0,4.0,6.2,1.25,Social life is great—lots of events and friends to keep me grounded.
P153,EU,Netherlands,24,Male,2,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.4285714285714284,3.6,2.5,UK culture feels polite but distant—struggling to feel fully connected.
P008,UK,England,26,Female,3,4.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,4.428571428571429,5.8,2.25,
P125,UK,Scotland,21,Male,2,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,3.142857142857143,4.6,2.5,Nothing to add
P148,EU,Sweden,24,Male,2,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,6.0,5.0,5.0,7.0,5.0,3.0,2.0,3.0,3.0,3.142857142857143,5.6,2.75,"It's been challenging at times, but I'm proud of how much I've grown."
P037,UK,England,26,Female,1,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,2.0,2.0,,2.5714285714285716,4.6,1.6666666666666667,Workshops on time management would be helpful.
P083,UK,England,21,Female,1,4.0,,5.0,2.0,5.0,2.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,3.0,4.333333333333333,7.0,2.5,I feel supported by my peers and staff.
